Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GZD-824 Down,29/246,2.29E-21,1.08E-18,0,0,13.4044901,637.057514,EGFR;LOXL2;EFNB2;FAM171A1;GLIPR1;PLAU;SFN;FLNB;SOX9;KCNN4;ANXA1;S100A2;LAMB3;SMAGP;CAV1;PLAUR;MICAL2;VEGFC;INHBA;DKK1;F3;FOSL1;FERMT1;BMP2;GPRC5A;SLPI;PKIA;IL1B;F2RL1
KF-38789 Up,29/247,2.57E-21,1.11E-18,0,0,13.3423195,632.563936,AMIGO2;LOXL2;MT2A;GLIPR1;MECOM;STC2;SFN;SOX9;KCNN4;IL11;JUN;ANXA1;TNFRSF12A;S100A2;CAV1;TPM1;PLAUR;MICAL2;INHBA;DKK1;F3;FOSL1;SLPI;AXL;ID1;F2RL1;PTX3;TLR4;MT1E
Diflunisal Down,29/247,2.57E-21,1.11E-18,0,0,13.3423195,632.563936,LAMA5;IRS1;AMIGO2;SLC2A1;CLU;LOXL2;MECOM;PODXL;UCP2;IGFBP6;SLIT2;CARD10;ZNF185;S100A2;LAMB3;ITGA3;CAV1;TPBG;KRT8;AKR1C3;DIO2;KRT7;ARHGAP29;LDOC1;NMNAT2;GPRC5A;SCNN1A;PKP2;TLR4
Indibulin Up,28/240,1.55E-20,6.47E-18,0,0,13.1832884,601.311943,NRP1;LAMA5;KRT81;IRS1;AMIGO2;GATA2;PLAC8;FAM171A1;MT2A;GLIPR1;BASP1;PODXL;FLNB;ABCC3;TNFRSF12A;ITGA3;CAV1;TPM1;KRT7;MICAL2;ARHGAP29;F3;FOSL1;KRT18;AXL;PTX3;GAS6;MT1E
Dolastatin-10 Up,28/242,1.95E-20,7.82E-18,0,0,13.058745,592.66322,EGFR;LOXL2;FAM171A1;MT2A;GLIPR1;PLAU;PODXL;PDGFC;FLNB;ANXA1;ZNF185;TNFRSF12A;S100A2;ITGA3;CAV1;TPM1;PLAUR;MICAL2;DKK1;F3;FOSL1;AXL;IL1B;F2RL1;PTX3;GAS6;IL7R;MT1E
Mebendazole Up,28/243,2.18E-20,8.44E-18,0,0,12.9973422,588.409957,KRT81;PLAC8;MT2A;GLIPR1;PLAU;PODXL;PDGFC;SPOCK1;SOX9;KCNN4;ABCC3;JUN;TNFRSF12A;S100A2;ITGA3;CAV1;TPM1;PLAUR;MICAL2;DKK1;F3;FOSL1;KRT18;AXL;ID1;IL7R;STX1A;MT1E
WZ-3146 Down,28/245,2.73E-20,1.02E-17,0,0,12.8762344,580.042047,AMIGO2;LOXL2;GLIPR1;PLAU;SFN;IL11;JUN;TNFRSF12A;S100A2;FOXF1;TPM1;KRT8;KRT7;MICAL2;ARHGAP29;INHBA;F3;FOSL1;BMP2;GPRC5A;KRT18;COL5A1;AXL;ID1;PXDN;F2RL1;TOX;MT1E
Vincristine Up,28/246,3.05E-20,1.07E-17,0,0,12.8165138,575.926007,KRT81;MT2A;GLIPR1;PODXL;PDGFC;SFN;SOX9;IL11;JUN;ANXA1;ZNF185;TNFRSF12A;S100A2;LAMB3;BDNF;ITGA3;CAV1;TPM1;PLAUR;MICAL2;SERPINB7;DKK1;F3;FOSL1;GPRC5A;AXL;PTX3;MT1E
Flubendazole Up,28/246,3.05E-20,1.07E-17,0,0,12.8165138,575.926007,KRT81;LOXL2;PLAC8;MT2A;GLIPR1;BASP1;SPOCK1;SFN;SOX9;IL11;ANXA1;S100A2;BDNF;CAV1;TPM1;DIO2;PLAUR;KRT7;MICAL2;DKK1;F3;FOSL1;BMP2;GPRC5A;AXL;ID1;IL7R;MT1E
KU-C104218 Up,28/248,3.81E-20,1.29E-17,0,0,12.6987013,567.826379,TOR4A;KRT81;AMIGO2;PLAC8;GLIPR1;PDGFC;DSE;PITX1;FZD2;ANXA1;S100A2;SMAGP;AKR1C3;PLAUR;KRT7;MICAL2;LDOC1;INHBA;DKK1;F3;GPRC5A;KRT18;SLPI;AXL;ID1;DPYD;SCNN1A;TLR4
D-64131 Up,28/250,4.74E-20,1.56E-17,0,0,12.5830116,559.898998,IRS1;PRSS23;LOXL2;MT2A;GLIPR1;PODXL;PDGFC;SFN;SLIT2;JUN;ANXA1;ZNF185;TNFRSF12A;S100A2;ITGA3;CAV1;TPM1;PLAUR;KRT7;MICAL2;DKK1;F3;FOSL1;KRT18;AXL;ID1;IL7R;MT1E
Forskolin Down,27/241,2.27E-19,7.23E-17,0,0,12.5284406,537.841141,AMIGO2;PLAU;STC2;PDGFC;CARD10;JUN;ANXA1;TNFRSF12A;S100A2;LAMB3;ITGA3;CAV1;KRT7;MICAL2;ARHGAP29;DKK1;FOSL1;TBC1D2;GPRC5A;KRT18;PSG5;AXL;PXDN;CDH13;PTX3;FJX1;STX1A
Repsox Down,27/242,2.53E-19,7.83E-17,0,0,12.4695313,533.957061,NRP1;KRT81;AMIGO2;LOXL2;GLIPR1;PLAU;BASP1;SPOCK1;SOX9;IGFBP6;ABCC3;FZD2;ANXA1;LAMB3;ITGA3;TPBG;KRT7;VEGFC;LDOC1;INHBA;DKK1;GPRC5A;AXL;IL1B;DPYD;TLR4;STX1A
VU-0365121-1 Up,27/247,4.32E-19,1.30E-16,0,0,12.183018,515.16174,KRT81;CLU;GLIPR1;BASP1;SFN;SOX9;KCNN4;IL11;JUN;ANXA1;ZNF185;TNFRSF12A;S100A2;LAMB3;CAV1;DIO2;PLAUR;MICAL2;PAWR;ARHGAP29;DKK1;F3;FOSL1;GPRC5A;SLPI;STX1A;MT1E
Ingenol Up,27/248,4.80E-19,1.37E-16,0,0,12.1272711,511.523353,AMIGO2;GLIPR1;PLAU;SFN;SOX9;IL11;IL4R;TNFRSF12A;S100A2;LAMB3;ITGA2;PLAUR;KRT7;MICAL2;VEGFC;INHBA;DKK1;F3;FOSL1;BMP2;GPRC5A;SLPI;IL1B;F2RL1;PTX3;IL7R;STX1A
Maxacalcitol Up,27/248,4.80E-19,1.37E-16,0,0,12.1272711,511.523353,NRP1;AMIGO2;TNFAIP2;LOXL2;CNN1;PLAU;BASP1;PDGFC;IGFBP6;PITX1;ABCC3;ZNF185;FOXF1;SMAGP;TPBG;AKR1C3;LDOC1;DKK1;F3;BMP2;GPRC5A;KRT18;AXL;IL1B;ID1;PTX3;IL7R
Cabozantinib Down,27/249,5.34E-19,1.48E-16,0,0,12.0720263,507.9238,SLC2A1;EGFR;EFNB2;FAM171A1;MT2A;GLIPR1;BASP1;SFN;JUN;ANXA1;TNFRSF12A;S100A2;SMAGP;ITGA3;PLAUR;KRT7;SERPINB7;DKK1;F3;FOSL1;GPRC5A;SLPI;IL1B;NMT2;F2RL1;PTX3;FJX1
SB-225002 Up,27/250,5.93E-19,1.61E-16,0,0,12.0172771,504.362509,AMIGO2;LOXL2;PLAC8;MT2A;GLIPR1;PLAU;PODXL;CREB3L1;SPOCK1;SOX9;TBL1X;IL4R;JUP;TNFRSF12A;S100A2;LAMB3;ITGA3;TPM1;PLAUR;MICAL2;DKK1;FOSL1;TBC1D2;AXL;IL7R;STX1A;MT1E
Bendroflumethiazide Down,26/242,3.14E-18,8.29E-16,0,0,11.8911336,479.252315,KRT81;CLU;FAM171A1;MT2A;NUAK1;DMBT1;BASP1;PODXL;SPOCK1;SOX9;KCNN4;ANXA1;JUP;TNFRSF12A;SYT1;AKR1C3;KRT7;MICAL2;PAWR;VEGFC;INHBA;DKK1;GPRC5A;IL1B;TLR4;MT1E
ALW-II-38-3 Up,26/247,5.24E-18,1.29E-15,0,0,11.6191325,462.33314,IRS1;AMIGO2;LOXL2;PLAC8;PLAU;BASP1;SOX9;SLIT2;TLE4;IL4R;ZNF185;LAMB3;CAV1;PLAUR;VEGFC;INHBA;DKK1;F3;PBX1;FOSL1;FERMT1;PKIA;PXDN;DPYD;F2RL1;STX1A
Colchicine Up,26/247,5.24E-18,1.29E-15,0,0,11.6191325,462.33314,AMIGO2;LOXL2;MT2A;GLIPR1;PLAU;PODXL;PDGFC;FLNB;FLNC;TNFRSF12A;LAMB3;ITGA3;CAV1;TPM1;PLAUR;MICAL2;ARHGAP29;SERPINB7;DKK1;F3;FOSL1;KRT18;AXL;F2RL1;GAS6;MT1E
SB-525334 Down,26/247,5.24E-18,1.29E-15,0,0,11.6191325,462.33314,KRT81;AMIGO2;SLC2A1;LOXL2;EFNB2;NUAK1;GLIPR1;PLAU;BASP1;DSE;SPOCK1;SYNPO;KCNN4;ABCC3;GALNT6;JUP;LAMB3;TPM1;PLAUR;KRT7;MICAL2;INHBA;GPRC5A;COL5A1;CDH13;GAS6
LCL-161 Up,26/248,5.79E-18,1.40E-15,0,0,11.5662026,459.057783,AMIGO2;TNFAIP2;LOXL2;PLAU;BASP1;PDGFC;SOX9;IGFBP6;CARD10;ZNF185;S100A2;LAMB3;PLAUR;KRT7;MICAL2;VEGFC;F3;FERMT1;GPRC5A;KRT18;PKIA;IL1B;ID1;PTX3;IL7R;MT1E
HDAC3-selective Up,26/249,6.41E-18,1.48E-15,0,0,11.5137473,455.817339,PRSS23;LOXL2;EFNB2;PLAU;BASP1;PODXL;STC2;IGFBP6;GALNT6;FZD2;ANXA1;SYT1;CAV1;TPBG;AKR1C3;PLAUR;DKK1;F3;GPRC5A;KRT18;SLPI;AXL;IL1B;ID1;F2RL1;TOX
HG-9-91-01 Down,26/249,6.41E-18,1.48E-15,0,0,11.5137473,455.817339,AMIGO2;PRSS23;LOXL2;PLAC8;EFNB2;MECOM;PLAU;PDGFC;KCNN4;CARD10;FZD2;LAMB3;ITGA3;CAV1;TPM1;ACSL5;MICAL2;ARHGAP29;INHBA;DKK1;FOSL1;KRT18;AXL;ID1;TLR4;MT1E
Salmeterol Down,25/242,3.71E-17,8.38E-15,0,0,11.3233217,428.393659,KRT81;IRS1;CLU;CNN1;GLIPR1;PODXL;PDGFC;SPOCK1;FLNB;CARD10;TNFRSF12A;ITGA3;TPM1;CRIM1;ACSL5;MICAL2;PAWR;ARHGAP29;DKK1;F3;KRT18;COL5A1;AXL;F2RL1;MT1E
Simvastatin Down,25/244,4.52E-17,9.79E-15,0,0,11.2187651,422.224733,LOXL2;GLIPR1;MECOM;PLAU;STC2;PDGFC;ANKRD1;ANXA1;TNFRSF12A;S100A2;TPM1;KRT7;MICAL2;ARHGAP29;DKK1;F3;FOSL1;BMP2;GPRC5A;KRT18;AXL;ID1;NMT2;F2RL1;IL7R
SGI-1776 Down,25/244,4.52E-17,9.79E-15,0,0,11.2187651,422.224733,AMIGO2;LOXL2;PLAC8;EFNB2;GLIPR1;DSE;FLNC;IGFBP6;PITX1;TNFRSF12A;SMAGP;CAV1;TPM1;AKR1C3;KRT7;MICAL2;VEGFC;F3;GPRC5A;SLPI;PSG5;AXL;ID1;NMT2;IL7R
JP-4-043 Down,25/245,4.98E-17,1.06E-14,0,0,11.1671996,419.190331,LAMA5;KRT81;LOXL2;PLAC8;GLIPR1;BASP1;PDGFC;SFN;IGFBP6;ANXA1;S100A2;ITGA3;CAV1;TPBG;ARHGAP29;DKK1;F3;PBX1;ARL4C;AR;GPRC5A;KRT18;AXL;PXDN;FJX1
LY-2183240 Up,25/246,5.49E-17,1.08E-14,0,0,11.1161009,416.188638,KRT81;MT2A;GLIPR1;PODXL;PDGFC;SFN;ANXA1;ZNF185;TNFRSF12A;S100A2;CAV1;TPM1;PLAUR;MICAL2;DKK1;F3;FOSL1;BMP2;GPRC5A;SLPI;AXL;PXDN;F2RL1;PTX3;MT1E
Hydroxyprogesterone-Caproate Up,25/246,5.49E-17,1.08E-14,0,0,11.1161009,416.188638,NRP1;LOXL2;GLIPR1;PLAU;SPOCK1;SOX9;KCNN4;ABCC3;CARD10;GALNT6;IL4R;S100A2;LAMB3;ITGA3;ITGA2;TPBG;PLAUR;MICAL2;VEGFC;INHBA;FOSL1;KRT18;AXL;IL1B;STX1A
Pentylenetetrazol Down,25/246,5.49E-17,1.08E-14,0,0,11.1161009,416.188638,IRS1;MT2A;PLAU;PODXL;SLIT2;ANXA1;LAMB3;ITGA3;TPBG;KRT8;AKR1C3;KRT7;MICAL2;VEGFC;DKK1;GPRC5A;KRT18;SLPI;PAPPA;ID1;PXDN;SCNN1A;F2RL1;TOX;MT1E
Zaleplon Down,25/246,5.49E-17,1.08E-14,0,0,11.1161009,416.188638,TNFAIP2;LOXL2;FAM171A1;CNN1;MT2A;DMBT1;CREB3L1;SPOCK1;ANXA1;S100A2;SMAGP;KRT8;AKR1C3;PLAUR;KRT7;LDOC1;INHBA;DKK1;F3;FERMT1;KRT18;SLPI;IL1B;ID1;TLR4
QS-11 Up,25/247,6.05E-17,1.13E-14,0,0,11.0654624,413.219168,AMIGO2;GLIPR1;PLAU;SPOCK1;SOX9;KCNN4;IL11;GALNT6;IL4R;TNFRSF12A;LAMB3;BDNF;ITGA2;PLAUR;MICAL2;VEGFC;INHBA;DKK1;FOSL1;BMP2;GPRC5A;KRT18;F2RL1;PTX3;STX1A
Rimexolone Down,25/247,6.05E-17,1.13E-14,0,0,11.0654624,413.219168,AMIGO2;PLAC8;FAM171A1;CNN1;GLIPR1;BASP1;PODXL;CREB3L1;SPOCK1;SOX9;IL11;SLC14A1;GALNT6;BDNF;PLAUR;ARHGAP29;PBX1;FOSL1;ARL4C;AXL;PAPPA;F2RL1;PTX3;TLR4;ABCG2
Esmolol Down,25/247,6.05E-17,1.13E-14,0,0,11.0654624,413.219168,KRT81;CITED2;AMIGO2;LOXL2;NUAK1;GLIPR1;BASP1;STC2;PDGFC;DSE;TBL1X;CARD10;FZD2;SYT1;CAV1;KRT8;AKR1C3;KRT7;KRT18;AXL;ID1;PXDN;CDH13;GAS6;GPRC5C
KI-8751 Up,25/248,6.67E-17,1.18E-14,0,0,11.0152782,410.281444,NRP1;GLIPR1;HRH1;PLAU;SFN;SLC14A1;ZNF185;TNFRSF12A;S100A2;LAMB3;CAV1;ITGA2;MICAL2;PAWR;ARHGAP29;DKK1;FOSL1;BMP2;GPRC5A;KRT18;SLPI;ID1;F2RL1;PTX3;TLR4
Selumetinib Down,25/248,6.67E-17,1.18E-14,0,0,11.0152782,410.281444,NRP1;IRS1;MT2A;PLAU;SOX9;KCNN4;ABCC3;SLC14A1;GALNT6;SYT1;SMAGP;BDNF;ITGA3;ITGA2;PLAUR;MICAL2;ARHGAP29;DKK1;FOSL1;KRT18;F2RL1;PTX3;TLR4;FJX1;STX1A
Hexachlorocyclopentadiene Down,25/248,6.67E-17,1.18E-14,0,0,11.0152782,410.281444,LAMA5;CITED2;TNFAIP2;GATA2;CLU;PLAC8;PLAGL1;PDGFC;IGFBP6;PITX1;ABCC3;ZNF185;S100A2;BDNF;ITGA3;KRT8;KRT7;DKK1;F3;PBX1;KRT18;SLPI;AXL;ID1;PTX3
Pyrantel-Pamoate Up,25/249,7.34E-17,1.26E-14,0,0,10.965542,407.374998,TOR4A;LOXL2;PLAC8;DMBT1;SFN;SOX9;FLNC;IGFBP6;SLC14A1;FZD2;ANXA1;JUP;S100A2;FOXF1;KRT8;DIO2;KRT7;BMP2;KRT18;IL1B;ID1;DPYD;IL7R;TLR4;FJX1
Caffeine Down,25/249,7.34E-17,1.26E-14,0,0,10.965542,407.374998,TOR4A;CITED2;AMIGO2;TNFAIP2;PLAC8;GLIPR1;DMBT1;STC2;SPOCK1;TBL1X;IGFBP6;KCNN4;PITX1;SLC12A8;CPA4;FOXF1;KRT7;LDOC1;TBC1D2;GPRC5A;KRT18;AXL;SCNN1A;IL7R;TLR4
Tandutinib Down,24/241,3.80E-16,6.44E-14,0,0,10.8160369,384.030327,PDGFRB;TNFRSF12A;AMIGO2;TPM1;AKR1C3;CRIM1;KRT7;MICAL2;PAWR;VEGFC;ARHGAP29;LDOC1;PRSS23;LOXL2;SLPI;MECOM;AXL;STC2;PDGFC;ID1;DSE;F2RL1;SPOCK1;MT1E
Nocodazole Up,24/242,4.18E-16,6.97E-14,0,0,10.7658716,381.229412,CARD10;ANXA1;ZNF185;TNFRSF12A;S100A2;IRS1;ITGA3;CAV1;TPM1;MICAL2;F3;LOXL2;FOSL1;MT2A;GLIPR1;TBC1D2;AXL;PODXL;PDGFC;SOX9;FLNC;GAS6;IL7R;MT1E
Parbendazole Up,24/243,4.59E-16,7.54E-14,0,0,10.7161644,378.459037,CARD10;ANXA1;ZNF185;TNFRSF12A;S100A2;IRS1;ITGA3;CAV1;TPBG;TPM1;MICAL2;DKK1;F3;LOXL2;FOSL1;MT2A;GLIPR1;SLPI;AXL;PODXL;PDGFC;ID1;FLNC;MT1E
SB-590885 Up,24/245,5.54E-16,8.83E-14,0,0,10.6180995,373.00808,NRP1;GALNT6;JUN;ANXA1;TNFRSF12A;LAMB3;SMAGP;CAV1;PLAUR;VEGFC;DKK1;F3;FOSL1;ARL4C;FERMT1;GPRC5A;PLAU;PKIA;DPYD;F2RL1;PTX3;IGFBP6;FJX1;STX1A
Ponatinib Down,24/245,5.54E-16,8.83E-14,0,0,10.6180995,373.00808,IL11;ZNF185;TNFRSF12A;S100A2;LAMB3;CAV1;SLC2A1;PLAUR;F3;LOXL2;FOSL1;EFNB2;GLIPR1;BMP2;GPRC5A;KRT18;PLAU;IL1B;ID1;UCP2;F2RL1;SPOCK1;SOX9;STX1A
Prostratin Up,24/246,6.08E-16,9.28E-14,0,0,10.5697297,370.326607,IL11;ANXA1;IL4R;ZNF185;TNFRSF12A;S100A2;LAMB3;SLC2A1;PLAUR;KRT7;MICAL2;INHBA;F3;FOSL1;GLIPR1;BMP2;GPRC5A;KRT18;SLPI;PLAU;F2RL1;SFN;PTX3;SOX9
Dabigatran-Etexilate Down,24/246,6.08E-16,9.28E-14,0,0,10.5697297,370.326607,FOXA1;TLE4;ABCC3;FOXF1;CITED2;AMIGO2;KRT8;AKR1C3;KRT7;ARHGAP29;LDOC1;CLU;LOXL2;MT2A;KRT18;AXL;STC2;PLAGL1;PDGFC;UCP2;SFN;TOX;MT1E;ABCG2
