Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Canertinib Down,48/248,2.76E-29,2.72E-26,0,0,10.50938776,691.0959032,NRP1;LRRC17;AMIGO2;LAMA3;LTBP2;LAMC2;PTN;NR3C1;THBS1;ELK3;RELN;PDGFC;ARHGDIB;SPEG;SOX9;TGM2;TLE4;KLF10;POSTN;SERPINB2;SMURF2;BDNF;TPM2;TFPI2;NR2F1;CRIM1;MICAL2;G0S2;VEGFC;SERPINB7;DKK1;TBX3;EREG;FOSL1;ADAM19;KLF7;KRT18;AXL;PXDN;COL4A6;COL4A5;TCF4;IL6ST;FJX1;STX1A;MT1E;EPHA2;HBEGF
ZM-336372 Up,48/249,3.34E-29,2.79E-26,0,0,10.45656073,685.6133353,TOR4A;BCAR3;NRP1;SDC4;CFH;ITGB4;AMIGO2;STC1;LAMC2;CXCL1;ELK3;PLAU;ARHGDIB;EFHD2;CCL2;SOX9;KCNN4;TGM2;ABCC3;JUN;POSTN;IL4R;SMURF2;LAMB3;SMAGP;PLK2;ITGA2;TFPI2;G0S2;VEGFC;DKK1;EREG;TGFBR2;FOSL1;NET1;ADAM19;IL1A;KRT18;TMEM158;AXL;RASA1;NFE2L3;SPATS2L;COL4A5;FJX1;STX1A;EPHA2;HBEGF
Ibrutinib Down,48/249,3.34E-29,2.79E-26,0,0,10.45656073,685.6133353,BCAR3;KRT81;NNMT;SDC4;CAB39;SERPINE1;AMIGO2;LAMA3;LAMC2;RND3;THBS1;ELK3;RELB;LOXL2;MT2A;PLAU;PDGFC;DSE;PMAIP1;SPOCK1;QSOX1;SOX9;JUN;SMURF2;LAMB3;SMAGP;BDNF;PLK2;TFPI2;MICAL2;G0S2;VEGFC;DKK1;EREG;TGFBR2;FOSL1;ADAM19;NFKBIA;IL1A;TMEM158;DLC1;ZYX;SCG5;FJX1;STX1A;MT1E;EPHA2;HBEGF
Fostamatinib Down,47/246,1.98E-28,1.54E-25,0,0,10.31928875,658.2553147,RTN1;SDC4;SERPINE1;AMIGO2;STC1;LAMC2;CXCL3;CXCL2;THBS1;EGFR;ELK3;PLAU;PMAIP1;FLNC;PDLIM5;MAP4K4;TGM2;CPA4;KLF10;JUN;SMURF2;SMAGP;BDNF;PLK2;TPM1;TFPI2;MX1;MICAL2;G0S2;VEGFC;ISG15;SERPINB7;DKK1;EREG;FOSL1;ADAM19;KLF7;TMEM158;KRT18;AXL;DLC1;ITGA5;IL6ST;FJX1;VCL;EPHA2;HBEGF
SB-525334 Down,47/247,2.39E-28,1.73E-25,0,0,10.26716063,652.9898109,KRT81;SDC4;SERPINE1;AMIGO2;SLC2A1;LTBP2;LAMC2;NR3C1;THBS1;GALNT10;ELK3;FSTL3;LOXL2;FGD6;PLAU;PPP1R13L;DSE;CYP1B1;SPOCK1;EPHB2;KCNN4;TGM2;KLF10;ABCC3;GALNT6;EDN1;LAMB3;TPM2;IGFBP3;TPM1;MICAL2;SULF1;DKK3;VEGFA;GREM1;KLF7;LOX;COL5A1;COL7A1;COL5A2;ITGBL1;CDH13;TCF4;ITGA5;GAS6;HBEGF;FBN1
Repsox Down,46/242,9.66E-28,6.55E-25,0,0,10.23275902,636.5203157,NRP1;PCSK1;KRT81;RTN1;SDC4;CFH;ITGB4;AMIGO2;LAMA3;STC1;PLOD2;LTBP2;LAMC2;FGF1;GLG1;GALNT10;ELK3;RELB;LOXL2;LASP1;PLAU;ANPEP;CYP1B1;SPOCK1;SOX9;IGFBP6;MAP4K4;ABCC3;FZD2;LAMB3;IGFBP3;TFPI2;VEGFC;DKK1;ELL2;SOD3;TGFBR2;NET1;CLEC2B;AXL;IL1B;DPYD;SPATS2L;ITGBL1;COL4A5;STX1A
WZ-3146 Down,46/245,1.69E-27,1.08E-24,0,0,10.07693093,621.1806577,SDC4;SERPINE1;LRRC17;AMIGO2;STC1;RND3;THBS1;ELK3;LOXL2;THBD;PDZD2;PLAU;ARHGDIB;CCL2;QSOX1;GBP1;KLF10;JUN;POSTN;TGFB2;TPM4;SMURF2;FOXF1;PLK2;IGFBP3;TPM2;TPM1;KRT8;MICAL2;G0S2;DCN;FOSL1;ADAM19;COL3A1;IL6;KRT18;COL5A1;AXL;DLC1;ID1;PXDN;COL5A2;SPATS2L;MT1E;EPHA2;HBEGF
Hydroxyprogesterone-Caproate Up,45/246,2.03E-26,1.23E-23,0,0,9.736789028,576.0063539,NRP1;SERPINE1;LAMA3;STC1;PLOD2;LAMC2;CXCL1;ELK3;GNAI2;LOXL2;FGD6;PLAU;ANPEP;SPOCK1;SOX9;EPHB2;KCNN4;CA12;ABCC3;GALNT6;IL4R;TPM4;LAMB3;TPM2;ITGA2;TFPI2;MICAL2;G0S2;VEGFC;AMPD3;EREG;VEGFA;NET1;FOSL1;ADAM19;IL1A;KRT18;AXL;IL1B;RASA1;COL6A1;COL4A6;ITGA5;STX1A;VCL
Vinblastine Up,44/242,9.75E-26,5.29E-23,0,0,9.644444444,555.4278202,KRT81;NNMT;CAB39;LAMC2;CXCL3;PVR;RND3;THBS1;ELK3;RELB;LOXL2;MT2A;PLAU;PODXL;ANPEP;PDGFC;PMAIP1;FLNB;SOX9;JUN;SERPINB2;ZNF185;TPM4;WNT5B;SMURF2;LAMB3;PLK2;TPM1;MICAL2;DKK1;EREG;DKK3;FOSL1;DRAP1;TMEM158;KRT18;AXL;DLC1;ZYX;ITGA5;GAS6;MT1E;EPHA2;HBEGF
Dolastatin-10 Up,44/242,9.75E-26,5.29E-23,0,0,9.644444444,555.4278202,CAB39;SRF;WWC2;CXCL1;LAMC2;CXCL3;CXCL2;THBS1;EGFR;ELK3;LOXL2;CNN2;MT2A;LASP1;PLAU;PODXL;ANPEP;PDGFC;ARHGDIB;FLNB;PPP1R14B;SERPINB2;ZNF185;TPM4;WNT5B;SMURF2;TPM1;MICAL2;DKK1;EREG;DKK3;FOSL1;ADAM19;TMEM158;AXL;IL1B;DLC1;ZYX;COL4A5;ITGA5;GAS6;VCL;MT1E;EPHA2
WH-4-025 Down,44/243,1.16E-25,6.01E-23,0,0,9.595483033,550.9043531,NNMT;RTN1;SERPINE1;AMIGO2;WWC2;LTBP2;TNFRSF11B;CXCL2;THBS1;MYLK;LOXL2;IL1RL1;MT2A;STC2;PDGFC;PMAIP1;AOX1;SPOCK1;SLC38A2;JUN;EDN1;SMURF2;BDNF;PLK2;TPM1;TFPI2;CRIM1;MICAL2;RRAS2;G0S2;VEGFC;SERPINB7;DKK1;DKK3;IL6;KRT18;DDAH1;AXL;DLC1;ITGBL1;CDH13;GAS6;MYL9;MT1E
Clocortolone-Pivalate Down,44/247,2.35E-25,1.11E-22,0,0,9.404461172,533.3423744,COLEC12;PCSK1;KRT81;AMIGO2;SLC2A1;STC1;CXCL1;PTN;CXCL3;CLU;RND3;RELB;LOXL2;PLAU;PMAIP1;CCL2;SOX9;EPHB2;CD96;JUN;VCAM1;TPM4;IGFBP5;SYT1;PLK2;IGFBP3;WNT5A;AKR1C3;MICAL2;PBX1;VEGFA;FOSL1;DRAP1;ARL4C;GREM1;IL6;TMEM158;CLEC2B;AXL;COL6A2;COL5A2;TCF4;FMOD;IDO1
K-02288 Down,44/247,2.35E-25,1.11E-22,0,0,9.404461172,533.3423744,KRT81;SDC4;CAB39;SERPINE1;LAMC2;LAMC1;CXCL3;ELK3;THBD;MT2A;PODXL;ARHGDIB;CYP1B1;CCL2;KCNN4;GABRE;KLF10;EDN1;POSTN;SERPINB2;TPM4;IGFBP3;TPM2;TPM1;MICAL2;DKK1;FOSL1;COL1A1;ADAM19;NFKBIA;COL1A2;TMEM158;LOX;COL5A1;COL6A2;COL7A1;ID1;COL6A3;TCF4;ITGA5;RIN2;EPHA2;HBEGF;ENG
SB-225002 Up,44/250,3.93E-25,1.78E-22,0,0,9.266063052,520.7055774,NNMT;RTN1;ITGB4;AMIGO2;LAMC2;THBS1;LOXL2;CNN2;MT2A;PLAU;PODXL;ANPEP;CREB3L1;ARHGDIB;EFHD2;SPOCK1;SOX9;MAP4K4;TGM2;POSTN;PPP1R14B;IL4R;TPM4;SMURF2;LAMB3;PLK2;TPM2;TPM1;TFPI2;MICAL2;DKK1;DKK3;FOSL1;ADAM19;TMEM158;AXL;DLC1;ZYX;ITGA5;RIN2;STX1A;IDO1;MT1E;HBEGF
Dexamethasone Down,43/246,1.86E-24,8.06E-22,0,0,9.170116415,501.0831485,COLEC12;PCSK1;CSF1;AMIGO2;STC1;TNFRSF11B;CXCL1;PTN;CXCL3;RELB;PLAU;CREB3L1;STC2;EFHD2;CCL2;SOX9;JUN;VCAM1;IGFBP5;ATP8B1;PLK2;IGFBP3;WNT5A;G0S2;VEGFC;ATP2B1;PBX1;TBX3;VEGFA;PSMB9;FOSL1;DRAP1;ARL4C;IL6;COL1A2;TMEM158;CLEC2B;AXL;RASA1;SCG5;FMOD;STX1A;HBEGF
Tandutinib Down,42/241,7.38E-24,3.08E-21,0,0,9.118343395,485.6767269,NNMT;SERPINE1;AMIGO2;TNFRSF11B;NR3C1;FGF2;NID2;RND3;LOXL2;MECOM;STC2;PDGFC;DSE;SPOCK1;SLC38A2;PDGFRB;VCAM1;SMURF2;PLK2;TPM2;WNT5A;TPM1;AKR1C3;CRIM1;MICAL2;G0S2;VEGFC;TAP1;VEGFA;PSMB9;INHBE;EXT1;COL3A1;IL6;LOX;AXL;DLC1;ID1;MYL9;CFB;MT1E;IDO1
ON-01910 Up,42/244,1.22E-23,4.90E-21,0,0,8.981527012,473.8764533,NRP1;KRT81;SERPINE1;AMIGO2;WWC2;LAMA3;LAMC2;CXCL3;CXCL2;MT2A;PODXL;ANPEP;PDGFC;EFHD2;SPOCK1;CCL2;FLNB;SOX9;KCNN4;MAP4K4;TGM2;SLC14A1;JUN;TPM4;SMURF2;LAMB3;SMAGP;TPM1;MICAL2;SERPINB9;DKK1;EREG;DKK3;FOSL1;ADAM19;TMEM158;ZYX;ITGA5;STX1A;VCL;EPHA2;MT1E
Afatinib Down,42/246,1.70E-23,6.14E-21,0,0,8.892551652,466.2410612,NRP1;IRS1;AMIGO2;LRRC17;LAMA3;STC1;LAMC2;CXCL1;THBS1;PDGFC;ARHGDIB;CCL2;QSOX1;FLNB;SOX9;TGM2;SLC14A1;TGFB2;SERPINB2;ZNF185;TPM2;IGFBP3;TFPI2;NR2F1;CRIM1;G0S2;ISG15;SERPINB7;DKK1;TBX3;EREG;TGFBR2;IL1A;COL3A1;COL1A2;IL1B;COL4A6;COL4A5;STX1A;VCL;EPHA2;HBEGF
Beclomethasone-Dipropionate Down,42/246,1.70E-23,6.14E-21,0,0,8.892551652,466.2410612,COLEC12;AMIGO2;CXCL1;PTN;CLU;IFI44L;ESM1;CREB3L1;STC2;EFHD2;CYP1B1;CCL2;SPOCK1;QSOX1;SOX9;KCNN4;SLC14A1;FZD2;VCAM1;IGFBP5;SMURF2;IGFBP3;WNT5A;NR2F1;MICAL2;IFI44;ISG15;DKK1;PBX1;TBX3;FOSL1;COL1A1;ADAM19;GREM1;COL1A2;TMEM158;DDAH1;OAS2;FEZ2;COL5A2;COL4A5;FMOD
LY-2109761 Down,42/246,1.70E-23,6.14E-21,0,0,8.892551652,466.2410612,ITGB1;COLEC12;NRP1;PCSK1;LRRC17;LAMA3;STC1;PLOD2;LAMC2;CXCL1;LAMC1;ELK3;MECOM;PLAU;CREB3L1;SPOCK1;CA9;EPHB2;KCNN4;TGM2;TLE4;ABCC3;KLF10;IGFBP5;FOXF1;SMAGP;IGFBP3;VEGFC;TBX3;VEGFA;TGFBR2;NET1;TMEM158;DLC1;COL6A2;ID1;COL4A6;COL4A5;COL6A3;ITGA5;STX1A;ENG
NPI-2358 Up,42/249,2.77E-23,9.69E-21,0,0,8.762312356,455.1203927,SERPINE1;LAMC2;CXCL1;CXCL3;CXCL2;ELK3;RELB;LOXL2;THBD;PLAU;PODXL;PPP1R13L;ANPEP;SPOCK1;FLNB;KCNN4;TPM4;WNT5B;SMURF2;LAMB3;TPM1;MX1;KRT8;MICAL2;G0S2;ISG15;FOSL1;ADAM19;GREM1;TMEM158;TNIP1;AXL;DLC1;COL6A2;COL7A1;FEZ2;COL6A1;ITGA5;VCL;MT1E;EPHA2;HBEGF
Disulfiram Up,41/245,1.28E-22,4.35E-20,0,0,8.661447391,436.6107236,NNMT;SDC4;CITED2;SERPINE1;STC1;CXCL1;CXCL2;RND3;RELB;LOXL2;THBD;MT2A;PLAU;PMAIP1;KCNN4;SERPINB2;LAMB3;PLK2;TFPI2;G0S2;VEGFC;AMPD3;SERPINB7;DKK1;ELL2;FOSL1;EXT1;DRAP1;GREM1;TMEM158;CLEC2B;AXL;DLC1;COL6A2;ID1;SCG5;PPARG;MT1E;IDO1;EPHA2;HBEGF
QS-11 Up,41/247,1.76E-22,5.47E-20,0,0,8.576467146,429.5892212,SDC4;AMIGO2;LPAR1;STC1;LAMC2;CXCL1;RELB;PLAU;ARHGDIB;EFHD2;CCL2;SPOCK1;SOX9;KCNN4;MAP4K4;GALNT6;POSTN;IL4R;SMURF2;LAMB3;BDNF;ITGA2;TFPI2;MICAL2;VEGFC;G0S2;SERPINB9;DKK1;VEGFA;FOSL1;ADAM19;GREM1;IL6;TMEM158;KRT18;RASA1;BCL3;COL6A1;STX1A;EPHA2;HBEGF
Nilotinib Up,41/247,1.76E-22,5.47E-20,0,0,8.576467146,429.5892212,NRP1;KRT81;CXCL1;LAMC2;CXCL2;ELK3;RELB;MT2A;PLAU;PODXL;EFHD2;CCL2;SOX9;EPHB2;KCNN4;GBP1;CA12;JUN;LAMB3;SMAGP;PLK2;UBE2E3;MICAL2;RRAS2;G0S2;SERPINB9;DKK1;EREG;PSMB9;FOSL1;ADAM19;NFKBIA;TMEM158;TNIP1;AXL;NFE2L3;SPATS2L;IL6ST;FJX1;MT1E;EPHA2
Met-Enkephalinrf Up,41/247,1.76E-22,5.47E-20,0,0,8.576467146,429.5892212,BCAR3;KRT81;SERPINE1;AMIGO2;LRRC17;PLOD2;CXCL1;CXCL3;CXCL2;RND3;THBS1;MYLK;LOXL2;STC2;PDGFC;CYP1B1;PDLIM5;VASP;TLE4;KLF10;EDN1;TGFB2;SERPINB2;ATP8B1;PLK2;TPM2;UBE2E3;IGFBP3;TPM1;AKR1C3;ZNF804A;G0S2;EREG;VEGFA;COL5A1;RASA1;KCNMA1;COL5A2;COL4A5;VCL;EPHA2
3-Fluorobenzylspiperone Down,41/248,2.07E-22,6.23E-20,0,0,8.534592823,426.139873,HS3ST3A1;IRS1;ITGB4;SERPINE1;MYLK;ELK3;LOXL2;EFEMP2;PPP4R1;EFHD2;CCL2;SPOCK1;GBP1;TGM2;ABCC3;JUN;EDN1;POSTN;ZNF185;TPM4;TPM2;TPM1;WNT5A;KRT8;DKK3;COL1A1;EXT1;ADAM19;ARL4C;GREM1;TMEM158;AXL;DLC1;COL7A1;PXDN;COL6A1;ZYX;TCF4;MYL9;VCL;EPHA2
ICG-001 Up,40/235,2.24E-22,6.58E-20,0,0,8.824624522,439.8957824,NRP1;PCSK1;MCFD2;AMIGO2;LAMA3;LPAR1;CXCL3;FGF2;CXCL2;PLAU;CREB3L1;STC2;PDGFC;DSE;CYP1B1;PMAIP1;SLC38A2;ABCC3;IGFBP5;SYT1;FOXF1;SIAH2;AKR1C3;MICAL2;G0S2;ATP2B1;DKK1;ELL2;VEGFA;INHBE;FOSL1;IL1A;IL6;LOX;IL1B;RASA1;COL5A2;SPATS2L;COL4A5;HBEGF
SKF-96365 Up,40/242,6.92E-22,1.98E-19,0,0,8.515733533,414.9103064,COLEC12;NNMT;CXCL1;LAMC1;CXCL3;RND3;ELK3;LOXL2;PODXL;ANPEP;ZC3H12A;SOX9;FLNC;IGFBP6;GABRE;MAGEA4;MAP4K4;CA12;SERPINB2;ZNF185;ERAP2;PLK2;TPM2;TFPI2;PCOLCE;DKK1;FOSL1;DRAP1;KRT18;CLEC2B;AXL;DLC1;ID1;ZYX;COL4A5;COL6A3;VCL;MT1E;EPHA2;HBEGF
Paricalcitol Up,40/245,1.11E-21,3.00E-19,0,0,8.389809332,404.8305739,NRP1;HSPB7;LPAR1;STC1;LTBP2;CXCL1;CXCL3;CXCL2;EGFR;MYLK;PLAU;IGFBP6;EPHB2;PDLIM5;PITX1;TGM2;SERPINB2;ZNF185;TPM4;IGFBP5;IGFBP3;WNT5A;TFPI2;VEGFC;G0S2;AMPD3;OSMR;DKK1;EREG;FOSL1;NFKBIA;IL1A;LOX;DLC1;RASA1;ID1;DPYD;COL6A3;IL6ST;EPHA2
Lapatinib Down,40/245,1.11E-21,3.00E-19,0,0,8.389809332,404.8305739,KRT81;SDC4;CAB39;SERPINE1;AMIGO2;LAMA3;SLC2A1;LAMC2;FSTL3;LOXL2;MT2A;PLAU;AOX1;KLF10;LAMB3;MICAL2;G0S2;SERPINB7;ELL2;TBX3;FOSL1;EXT1;ADAM19;DRAP1;KRT18;AXL;IL1B;DLC1;ID1;COL4A6;SCG5;COL4A5;ITGA5;GAS6;STX1A;MT1E;EPHA2;IDO1;HBEGF;ENG
SB-431542 Down,40/247,1.51E-21,3.90E-19,0,0,8.30788763,398.3068091,AMIGO2;LTBP2;LAMC2;NR3C1;CXCL2;THBS1;ELK3;FSTL3;LOXL2;PLAU;DSE;CYP1B1;SPOCK1;SOX9;EPHB2;KCNN4;PDLIM5;KLF10;TGFB2;IGFBP5;FOXF1;IGFBP3;TFPI2;MX1;KRT8;MICAL2;ISG15;SULF1;ADAM19;NFKBIA;GREM1;KRT18;COL5A1;ID1;COL5A2;MXRA8;SCG5;ITGBL1;TCF4;EPHA2
D-4476 Down,40/247,1.51E-21,3.90E-19,0,0,8.30788763,398.3068091,KRT81;NNMT;SERPINE1;AMIGO2;WWC2;PLOD2;LTBP2;LAMC2;FGF1;THBS1;GALNT10;FSTL3;LOXL2;CNN2;MT2A;PDZD2;PODXL;PPP1R13L;ARHGDIB;SPOCK1;EPHB2;TLE4;KLF10;EDN1;TGFB2;HSPA5;TPM2;MICAL2;SULF1;ELL2;EREG;DKK3;ADAM19;KLF7;COL5A1;AXL;COL5A2;MT1E;HBEGF;FBN1
KI-8751 Up,40/248,1.76E-21,4.44E-19,0,0,8.26751756,395.1018693,BCAR3;NRP1;NNMT;SDC4;LAMA3;CXCL1;LAMC2;LAMC1;CXCL3;CXCL2;ELK3;HRH1;PPP4R1;PLAU;ANPEP;ARSJ;EFHD2;PMAIP1;PDLIM5;CA12;SLC14A1;ZNF185;SMURF2;LAMB3;PLK2;ITGA2;MICAL2;G0S2;DKK1;ELL2;EREG;TGFBR2;FOSL1;IL1A;KRT18;DLC1;ID1;COL4A5;EPHA2;HBEGF
Rotenone Up,40/249,2.05E-21,4.94E-19,0,0,8.227533807,391.934088,KRT81;SERPINE1;CXCL1;CXCL3;CXCL2;THBS1;EGFR;LOXL2;THBD;MT2A;LASP1;PLAU;PODXL;ANPEP;ARHGDIB;EFHD2;CCL2;FLNB;SOX9;MAP4K4;PPP1R14B;IL4R;TPM4;TPM1;RHBDF2;G0S2;EREG;VEGFA;FOSL1;ADAM19;GREM1;AXL;IL1B;RASA1;ID1;ZYX;SCG5;PPARG;ITGA5;MT1E
Cabozantinib Down,40/249,2.05E-21,4.94E-19,0,0,8.227533807,391.934088,SERPINE1;LAMA3;SLC2A1;LAMC2;CXCL1;CXCL3;FGF2;PVR;RND3;CXCL2;EGFR;RELB;IL1RL1;MT2A;PPP1R13L;PMAIP1;TGM2;JUN;SERPINB2;TPM4;SMURF2;HSPA5;SMAGP;TPM2;IGFBP3;SERPINB7;OSMR;DKK1;TGFBR2;FOSL1;DRAP1;KLF7;IL1B;BCL3;SCG5;IL6ST;FJX1;EPHA2;HBEGF;ENG
CMPD-1 Up,39/244,7.96E-21,1.88E-18,0,0,8.161886179,377.7274072,KRT81;CSF1;ITGB4;SERPINE1;SLC2A1;PLOD2;LAMC2;CXCL1;CXCL3;CXCL2;EGFR;RELB;THBD;PLAU;CREB3L1;STC2;PDGFC;PMAIP1;FLNB;SOX9;CA12;JUN;WNT5B;HSPA5;LAMB3;PLK2;MICAL2;G0S2;TAP1;AMPD3;DKK1;EREG;VEGFA;FOSL1;TNIP1;IRF1;MYL9;MT1E;HBEGF
Vincristine Up,39/246,1.08E-20,2.48E-18,0,0,8.082190016,371.6043475,KRT81;ITGB4;LAMC2;CXCL1;CXCL3;PVR;RND3;ELK3;RELB;MT2A;PODXL;PPP1R13L;PDGFC;SOX9;JUN;SERPINB2;ZNF185;TPM4;SMURF2;LAMB3;BDNF;PLK2;TPM1;MICAL2;SERPINB7;DKK1;EREG;VEGFA;FOSL1;KLF7;TMEM158;AXL;DLC1;ZYX;ITGA5;VCL;MT1E;EPHA2;HBEGF
