Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Ercalcitriol Up,16/244,1.95E-08,8.48E-06,0,0,6.53166249,115.9584747,CDA;ANXA3;MMP3;LPAR1;KRT7;VEGFC;SPINT2;MAPK13;BASP1;PLAU;PDGFC;EPS8L2;LCP1;DOCK2;TSPAN1;TGM2
ABT-491 Up,16/244,1.95E-08,8.48E-06,0,0,6.53166249,115.9584747,CDA;CITED2;ANXA3;KRT7;ARHGAP29;SPINT2;KMO;FSTL1;GRB14;BASP1;PLAU;HSD17B2;ARHGDIB;AOX1;TSPAN1;LTF
Trioxsalen Up,16/246,2.19E-08,8.48E-06,0,0,6.474202899,114.1946403,RAB3B;GABRP;KRT81;POSTN;SPINK1;MME;KRT7;MSLN;GLIPR1;CALB1;GRB14;BASP1;CYP11A1;SPP1;TGM2;RAG1
Antimycin-A Up,16/246,2.19E-08,8.48E-06,0,0,6.474202899,114.1946403,SEMA5A;SPINK1;ANXA3;SERPINE1;KRT7;ARHGAP29;MSLN;RGS4;SULT1C2;CALB1;BASP1;ARHGDIB;SCG5;CASP1;AOX1;FLNC
NTNCB Down,16/246,2.19E-08,8.48E-06,0,0,6.474202899,114.1946403,SRGN;TAGLN;POSTN;SPINK1;CITED2;SERPINE1;ACSL5;KRT7;ARHGAP29;ANXA10;RGS4;GLIPR1;NAV3;HSD17B2;ARHGDIB;SFN
GZD-824 Down,16/246,2.19E-08,8.48E-06,0,0,6.474202899,114.1946403,COL17A1;TGFB2;ANXA3;BIK;SERPINE1;IL18;VEGFC;ADRB2;MMP9;EGFR;GLIPR1;PLAU;SFN;SOX9;TSPAN1;TGM2
GSK-690693 Up,16/247,2.31E-08,8.48E-06,0,0,6.445846217,113.326964,GABRP;EDN1;CITED2;ANXA3;GDF15;SERPINE1;ARHGAP29;ADRB2;MSLN;FSTL1;EGFR;NUAK1;BASP1;PLAU;PDGFC;AOX1
EMD-84 Down,16/247,2.31E-08,8.48E-06,0,0,6.445846217,113.326964,IL32;SRGN;ANXA3;WWC1;CYP4F3;KRT7;MSLN;NUAK1;BASP1;PDGFC;SUSD4;AOX1;LCP1;RIN2;SSX1;LTF
CYT-997 Up,16/248,2.45E-08,8.48E-06,0,0,6.41773399,112.4685975,CDA;KRT81;TGFB2;ANXA3;BIK;BDNF;KRT7;VEGFC;FSTL1;EGFR;GLIPR1;PLAU;PDGFC;ARHGDIB;SOX9;RIN2
LCL-161 Up,16/248,2.45E-08,8.48E-06,0,0,6.41773399,112.4685975,IL32;TGFB2;CSF2;MME;ANXA3;KRT7;VEGFC;ANXA10;OASL;CALB1;BASP1;PLAU;PDGFC;SCG5;SOX9;RIN2
Canertinib Down,16/248,2.45E-08,8.48E-06,0,0,6.41773399,112.4685975,TAGLN;POSTN;ANXA3;BDNF;KRT7;VEGFC;ARHGAP29;SERPINB7;FSTL1;MMP9;RGS4;PDGFC;ARHGDIB;SOX9;TGM2;LTF
Doconexent Down,16/248,2.45E-08,8.48E-06,0,0,6.41773399,112.4685975,SEMA5A;GABRP;EDN1;TAGLN;POSTN;SPINK1;ANXA3;WWC1;ARHGAP29;RGS4;PDGFC;HSD17B2;ARHGDIB;SCG5;PKP2;CASP1
KUC104240N Down,16/248,2.45E-08,8.48E-06,0,0,6.41773399,112.4685975,POSTN;CITED2;ANXA3;BIK;LPAR1;ARHGAP29;ADRB2;FSTL1;MMP9;GRB14;ARHGDIB;SCG5;AOX1;NUPR1;TOX;LTF
NPPB Down,16/248,2.45E-08,8.48E-06,0,0,6.41773399,112.4685975,SRGN;CDA;KRT81;ANXA3;IL18;ACSL5;FSTL1;NUAK1;PCLO;BASP1;PDGFC;SLCO1B3;SLAMF7;SFN;TGM2;LTF
SA-1458902 Up,16/249,2.59E-08,8.48E-06,0,0,6.38986307,111.6194057,SRGN;ANXA3;TIE1;KRT7;VEGFC;ANXA10;SPINT2;KMO;RGS4;SULT1C2;BASP1;ARHGDIB;SLAMF7;SOX9;TGM2;LTF
Apremilast Down,16/249,2.59E-08,8.48E-06,0,0,6.38986307,111.6194057,IL32;SRGN;POSTN;ANXA3;ACSL5;SPINT2;ADRB2;MSLN;MMP9;TTN;MLPH;ARHGDIB;SLCO1B3;SPP1;SCG5;LTF
646 0226 7557 Down,15/239,9.74E-08,2.56E-05,0,0,6.204510833,100.1660813,IL32;SPINK1;CITED2;ANXA3;BIK;MMP3;ARHGAP29;SERPINB7;FSTL1;SULT1C2;PCLO;PDGFC;HSD17B2;SCG5;LCP1
Indibulin Up,15/240,1.03E-07,2.56E-05,0,0,6.176619273,99.37863081,CDA;KRT81;TAGLN;ANXA3;WWC1;KRT7;ARHGAP29;FSTL1;MMP9;GLIPR1;MLPH;GRB14;BASP1;EPS8L2;TGM2
Alpha-Methylserotonin Up,15/243,1.21E-07,2.56E-05,0,0,6.094412572,97.06798332,SRGN;CDA;TAGLN;CITED2;ANXA3;GDF15;ARHGAP29;SPINT2;FSTL1;BASP1;HSD17B2;ARHGDIB;SOX9;RIN2;TSPAN1
Westcort Down,15/243,1.21E-07,2.56E-05,0,0,6.094412572,97.06798332,IL32;GABRP;POSTN;MMP3;DYSF;KRT7;ARHGAP29;SPINT2;MMP9;TTN;RGS4;ESM1;SOX9;TGM2;LTF
MGCD-265 Down,15/243,1.21E-07,2.56E-05,0,0,6.094412572,97.06798332,KRT81;BIK;TIE1;KRT7;VEGFC;MLPH;BASP1;PLAU;SLCO1B3;SPP1;SCG5;SLAMF7;SFN;SOX9;TGM2
CMPD-1 Up,15/244,1.28E-07,2.56E-05,0,0,6.067488979,96.3145778,IL32;KRT81;ANXA3;SERPINE1;CYP4F3;MMP9;EGFR;MLPH;PLAU;CREB3L1;PDGFC;SFN;SOX9;LCP1;LTF
Cyanazine Up,15/244,1.28E-07,2.56E-05,0,0,6.067488979,96.3145778,IL32;SRGN;SPINK1;MME;ANXA3;LPAR1;ACSL5;ARHGAP29;ANXA10;SULT1C2;MLPH;HSD17B2;PKP2;FLNC;LCP1
NP-010914 Up,15/245,1.35E-07,2.56E-05,0,0,6.040799505,95.56937127,CDA;TAGLN;POSTN;ANXA3;IL18;FSTL1;MMP9;SUGCT;FAP;PDGFC;ARHGDIB;AOX1;SOX9;TGM2;LTF
WZ-3146 Down,15/245,1.35E-07,2.56E-05,0,0,6.040799505,95.56937127,TAGLN;POSTN;TGFB2;ANXA3;SERPINE1;KRT7;ARHGAP29;MMP9;RGS4;GLIPR1;PLAU;ARHGDIB;PLXNA2;SFN;TOX
SA-90471 Down,15/245,1.35E-07,2.56E-05,0,0,6.040799505,95.56937127,GABRP;KRT81;TAGLN;POSTN;GDF15;SERPINE1;CYP4F3;SPINT2;ADRB2;SERPINB7;RGS4;SFN;NUPR1;TSPAN1;LTF
Idalopirdine Down,15/245,1.35E-07,2.56E-05,0,0,6.040799505,95.56937127,IL32;GABRP;BIK;MMP3;ACSL5;VEGFC;OASL;MAPK13;RGS4;PLAU;HSD17B2;SFN;SOX9;NUPR1;TGM2
Sulfaphenazole Up,15/246,1.42E-07,2.56E-05,0,0,6.014341109,94.83224349,IL32;SRGN;GABRP;ANXA3;WWC1;ACSL5;KRT7;ADRB2;MSLN;BASP1;ARHGDIB;SLCO1B3;SOX9;TGM2;LTF
Prostratin Up,15/246,1.42E-07,2.56E-05,0,0,6.014341109,94.83224349,IL32;CDA;ANXA3;KRT7;MMP9;RGS4;IL1RL1;GLIPR1;PLAU;SPP1;SFN;SOX9;RIN2;TGM2;LTF
Beta-Naphthoflavone Up,15/246,1.42E-07,2.56E-05,0,0,6.014341109,94.83224349,SPINK1;GDF15;KCNE4;SERPINE1;LPAR1;MSLN;TTN;MAPK13;RGS4;MLPH;NAV3;SPP1;PLXNA2;S1PR1;SFN
Pyocyanin Up,15/246,1.42E-07,2.56E-05,0,0,6.014341109,94.83224349,CITED2;ANXA3;SERPINE1;VEGFC;ADRB2;SERPINB7;EGFR;RGS4;SULT1C2;FAP;NAV3;PLAU;SCG5;SOX9;LCP1
SA-1460192 Up,15/246,1.42E-07,2.56E-05,0,0,6.014341109,94.83224349,IL32;SPINK1;ANXA3;GDF15;BIK;ACSL5;KRT7;VEGFC;KMO;SULT1C2;MLPH;SOX9;NUPR1;TGM2;LTF
Farnesol Down,15/246,1.42E-07,2.56E-05,0,0,6.014341109,94.83224349,SRGN;GABRP;POSTN;GDF15;TIE1;MMP3;DYSF;TTN;RGS4;MLPH;PLAU;SOX9;NUPR1;LCP1;TGM2
Nifurtimox Up,15/247,1.50E-07,2.56E-05,0,0,5.988110802,94.10307648,SEMA5A;SRGN;CITED2;ANXA3;LPAR1;ACSL5;ANXA10;FSTL1;MMP9;TTN;GRB14;NAV3;BASP1;SLCO1B3;LTF
Oxibendazole Up,15/247,1.50E-07,2.56E-05,0,0,5.988110802,94.10307648,CDA;GABRP;KRT81;SERPINE1;KRT7;ADRB2;FSTL1;RGS4;GLIPR1;PLAU;PDGFC;SPP1;SLAMF7;SFN;LCP1
Nitazoxanide Up,15/247,1.50E-07,2.56E-05,0,0,5.988110802,94.10307648,IL32;SRGN;MME;ANXA3;LPAR1;KRT7;VEGFC;SPINT2;FSTL1;TTN;MLPH;BASP1;SLCO1B3;EPS8L2;SOX9
SA-85377 Up,15/247,1.50E-07,2.56E-05,0,0,5.988110802,94.10307648,TAGLN;POSTN;SPINK1;ANXA3;CYP4F3;KRT7;SPINT2;KMO;FSTL1;LOXL1;FAP;GRB14;ARHGDIB;SCG5;LTF
SA-1447005 Down,15/247,1.50E-07,2.56E-05,0,0,5.988110802,94.10307648,POSTN;ANXA3;BIK;WWC1;KRT7;ARHGAP29;SPINT2;ADRB2;FSTL1;MLPH;ARHGDIB;AOX1;SOX9;RIN2;TGM2
Acrylonitrile Down,15/247,1.50E-07,2.56E-05,0,0,5.988110802,94.10307648,SRGN;POSTN;VEGFC;MMP9;RGS4;GLIPR1;FAP;NAV3;PLAU;ARHGDIB;SCG5;SOX9;RIN2;TGM2;LTF
Valyltryptophan Up,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,SRGN;GABRP;KRT81;TAGLN;SPINK1;MME;LPAR1;IL18;KRT7;MSLN;OASL;MAPK13;RGS4;HSD17B2;PKP2
Ponalrestat Up,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,IL32;SRGN;ANXA3;KCNE4;CYP4F3;DYSF;ARHGAP29;MMP9;BASP1;ARHGDIB;CASP1;SLAMF7;FLNC;TSPAN1;LTF
Maxacalcitol Up,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,ANXA3;KCNE4;SERPINE1;LPAR1;FSTL1;MAPK13;RGS4;MLPH;NAV3;BASP1;PLAU;PDGFC;PLXNA2;TSPAN1;TGM2
SA-103150 Up,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,IL32;MME;CITED2;ANXA3;BIK;SPINT2;MSLN;TTN;MLPH;PDGFC;ARHGDIB;PKP2;SOX9;LCP1;RIN2
TTNPB Down,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,KRT81;TAGLN;POSTN;KCNE4;MMP3;IL18;KRT7;KRT34;SERPINB7;MMP9;TTN;GRB14;PDGFC;SPP1;SOX9
Ampicillin Down,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,IL32;COL17A1;SRGN;MME;BIK;MSLN;MMP9;BASP1;PLAU;SCG5;SOX9;NUPR1;RIN2;MISP;LTF
Emodin Down,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,IL32;CDA;GABRP;POSTN;SPINK1;CITED2;IL18;KRT7;ADRB2;MAPK13;ANKRD1;EPS8L2;TGM2;SSX1;LTF
Tasquinimod Down,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,IL32;MME;CITED2;GDF15;KRT7;ARHGAP29;NMNAT2;NUAK1;PCLO;NAV3;PDGFC;SPP1;NUPR1;RIN2;TGM2
Cinepazide Down,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,SRGN;KRT7;VEGFC;ARHGAP29;ADRB2;TTN;SULT1C2;NAV3;PDGFC;HSD17B2;SPP1;PLXNA2;EPS8L2;SOX9;RIN2
Colforsin-Daproate Down,15/248,1.58E-07,2.56E-05,0,0,5.962105649,93.38175445,IL32;GABRP;TAGLN;POSTN;ANXA3;BIK;BDNF;ARHGAP29;SPINT2;SERPINB7;FSTL1;ESM1;PDGFC;SOX9;LTF
Brinzolamide Down,15/249,1.66E-07,2.56E-05,0,0,5.936322761,92.66816376,IL32;SRGN;GABRP;TAGLN;POSTN;MME;CITED2;GDF15;KRT7;ARHGAP29;BASP1;PDGFC;AOX1;SOX9;NUPR1
Bemegride Down,15/249,1.66E-07,2.56E-05,0,0,5.936322761,92.66816376,IL32;KRT81;GDF15;BIK;KRT7;SULT1C2;NUAK1;PCLO;MLPH;FAP;PDGFC;HSD17B2;SPP1;NUPR1;RIN2
Caffeine Down,15/249,1.66E-07,2.56E-05,0,0,5.936322761,92.66816376,GABRP;SPINK1;CITED2;GDF15;WWC1;KRT7;ADRB2;OASL;RGS4;GLIPR1;SPP1;EPS8L2;NUPR1;RIN2;CPA4
SGC-CBP30 Down,15/249,1.66E-07,2.56E-05,0,0,5.936322761,92.66816376,GABRP;KRT81;EDN1;MME;BIK;IL18;KRT7;ADRB2;MSLN;CALB1;MLPH;PDGFC;SOX9;LCP1;TSPAN1
VU-0365118-1 Up,15/250,1.75E-07,2.62E-05,0,0,5.910759302,91.96219286,COL17A1;SRGN;KRT81;TGFB2;ANXA3;IL18;KRT7;ARHGAP29;FSTL1;GLIPR1;PLAU;ARHGDIB;ANKRD1;SPP1;SFN
Decamethonium Down,15/250,1.75E-07,2.62E-05,0,0,5.910759302,91.96219286,IL32;GABRP;SPINK1;ANXA3;SERPINE1;IL18;KRT7;ARHGAP29;MSLN;NUAK1;MLPH;HSD17B2;SOX9;LCP1;LTF
RS-67506 Down,14/236,5.21E-07,7.71E-05,0,0,5.816080231,84.14005567,IL32;TAGLN;POSTN;ARHGAP29;SPINT2;TTN;RGS4;ESM1;CALB1;NAV3;PDGFC;PLXNA2;SFN;LTF
NPC26 Up,14/239,6.07E-07,8.04E-05,0,0,5.737651992,82.13297139,GABRP;KRT81;GDF15;KRT7;VEGFC;NMNAT2;EGFR;MLPH;BASP1;SLCO1B3;SPP1;SFN;SOX9;NUPR1
XL-147 Up,14/240,6.38E-07,8.04E-05,0,0,5.711971949,81.47882087,MME;ANXA3;BIK;KCNE4;LPAR1;ANXA10;MMP9;MAPK13;RGS4;MLPH;NAV3;CREB3L1;SOX9;NUPR1
GYKI-52466 Down,14/240,6.38E-07,8.04E-05,0,0,5.711971949,81.47882087,TAGLN;GDF15;ACSL5;KRT7;VEGFC;ARHGAP29;SPINT2;ADRB2;NAV3;PLAU;PDGFC;FLNC;NUPR1;TGM2
Tylosin-Tartrate Down,14/240,6.38E-07,8.04E-05,0,0,5.711971949,81.47882087,SRGN;MME;GDF15;BIK;NMNAT2;MMP9;TTN;PDGFC;SPP1;SOX9;NUPR1;LCP1;RIN2;LTF
CD-1530 Up,14/241,6.71E-07,8.04E-05,0,0,5.686518161,80.83192375,SRGN;GABRP;GDF15;KRT7;ANXA10;KMO;RGS4;MLPH;PLAU;SLCO1B3;SOX9;NUPR1;TGM2;LTF
Tacalcitol Up,14/242,7.05E-07,8.04E-05,0,0,5.661287653,80.19217195,SEMA5A;CDA;ANXA3;MMP3;LPAR1;KRT7;VEGFC;FSTL1;TTN;MAPK13;RGS4;BASP1;SCG5;TGM2
Salmeterol Down,14/242,7.05E-07,8.04E-05,0,0,5.661287653,80.19217195,IL32;GABRP;KRT81;EDN1;TAGLN;TGFB2;SERPINE1;ACSL5;ARHGAP29;FSTL1;SULT1C2;GLIPR1;PDGFC;EPS8L2
DPO-1 Up,14/243,7.41E-07,8.04E-05,0,0,5.636277499,79.55945948,EDN1;TAGLN;POSTN;WWC1;IL18;VEGFC;SPINT2;SULT1C2;NUAK1;MLPH;FAP;BASP1;HSD17B2;LTF
CCT-244747 Up,14/243,7.41E-07,8.04E-05,0,0,5.636277499,79.55945948,SEMA5A;SRGN;KRT81;POSTN;SPINK1;BDNF;ACSL5;KRT34;ARHGAP29;ANXA10;PDGFC;HSD17B2;SOX9;LCP1
Phenothrin Up,14/243,7.41E-07,8.04E-05,0,0,5.636277499,79.55945948,SRGN;EDN1;TAGLN;ANXA3;SERPINE1;KRT7;ARHGAP29;PRR5L;RGS4;GLIPR1;ARHGDIB;SPP1;SCG5;PKP2
U-74389F Down,14/243,7.41E-07,8.04E-05,0,0,5.636277499,79.55945948,SRGN;BIK;IL18;ACSL5;MSLN;OASL;RGS4;NUAK1;BASP1;CREB3L1;SUSD4;SLAMF7;TOX;TGM2
BH3I-1 Down,14/243,7.41E-07,8.04E-05,0,0,5.636277499,79.55945948,IL32;SPINK1;ANXA3;KRT7;ARHGAP29;SPINT2;NUAK1;MLPH;BASP1;SLAMF7;SOX9;NUPR1;TGM2;LTF
SA-1973509 Down,14/243,7.41E-07,8.04E-05,0,0,5.636277499,79.55945948,SRGN;GABRP;EDN1;KRT7;ARHGAP29;ANXA10;KMO;RGS4;GLIPR1;BASP1;ARHGDIB;SLCO1B3;TGM2;CPA4
Dephostatin Up,14/244,7.78E-07,8.04E-05,0,0,5.611484824,78.93368231,SRGN;GABRP;GDF15;CYP4F3;LPAR1;ACSL5;ADRB2;RGS4;GLIPR1;MLPH;NAV3;BASP1;SLCO1B3;TGM2
Norgestimate Up,14/244,7.78E-07,8.04E-05,0,0,5.611484824,78.93368231,POSTN;MME;KRT7;SPINT2;FSTL1;MMP9;RGS4;MLPH;FAP;PDGFC;TOX;RIN2;TSPAN1;TGM2
L-168049 Up,14/244,7.78E-07,8.04E-05,0,0,5.611484824,78.93368231,CDA;TAGLN;ANXA3;LPAR1;KRT7;ANXA10;CALB1;MLPH;GRB14;PDGFC;SLCO1B3;AOX1;NUPR1;LTF
KU-C104255 Up,14/244,7.78E-07,8.04E-05,0,0,5.611484824,78.93368231,POSTN;KCNE4;IL18;KRT7;SPINT2;ADRB2;FSTL1;RGS4;PCLO;PDGFC;ANKRD1;AOX1;SOX9;NUPR1
Ranolazine Down,14/244,7.78E-07,8.04E-05,0,0,5.611484824,78.93368231,COL17A1;TAGLN;POSTN;SPINK1;ANXA3;GDF15;VEGFC;ARHGAP29;SPINT2;TTN;NUAK1;FAP;PDGFC;PKP2
Rucinol Down,14/244,7.78E-07,8.04E-05,0,0,5.611484824,78.93368231,SRGN;KRT81;MME;ANXA3;BDNF;KRT7;SULT1C2;NAV3;SLCO1B3;SPP1;SCG5;SLAMF7;RIN2;TGM2
SB-366791 Up,14/245,8.17E-07,8.04E-05,0,0,5.586906804,78.31473838,IL32;ANXA3;IL18;SPINT2;SERPINB7;MSLN;RGS4;PDGFC;ARHGDIB;PLCH1;NUPR1;TOX;RIN2;TGM2
Sertindole Up,14/245,8.17E-07,8.04E-05,0,0,5.586906804,78.31473838,SEMA5A;SPINK1;GDF15;KCNE4;LPAR1;KRT7;VEGFC;MLPH;FAP;BASP1;SPP1;SCG5;AOX1;RIN2
Hydroflumethiazide Down,14/245,8.17E-07,8.04E-05,0,0,5.586906804,78.31473838,IL32;SPINK1;MME;GDF15;MMP3;VEGFC;ARHGAP29;ANXA10;SPINT2;ADRB2;FSTL1;HSD17B2;AOX1;NUPR1
Tetroquinone Down,14/245,8.17E-07,8.04E-05,0,0,5.586906804,78.31473838,IL32;TAGLN;POSTN;IL18;KRT7;SPINT2;MSLN;TTN;CALB1;FAP;EPS8L2;NUPR1;RIN2;TGM2
Deguelin Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,CDA;ANXA3;SERPINE1;LPAR1;KRT7;VEGFC;ANXA10;FSTL1;EGFR;MAPK13;IL1RL1;CALB1;PLAU;SLCO1B3
Ribavirin Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,CDA;POSTN;CITED2;KRT7;ARHGAP29;SPINT2;MMP9;SULT1C2;NUAK1;GLIPR1;PCLO;MLPH;TGM2;LTF
KU-C103904N Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,SEMA5A;SRGN;SPINK1;MME;ANXA3;GDF15;KCNE4;LPAR1;SPINT2;SULT1C2;MLPH;CREB3L1;SCG5;SOX9
MLN-8054 Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,GABRP;KRT81;POSTN;CITED2;GDF15;BDNF;KRT7;KMO;GLIPR1;BASP1;PDGFC;SPP1;TGM2;SSX1
III606050 Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,COL17A1;CSF2;SPINK1;ANXA3;ADRB2;MSLN;OASL;MLPH;BASP1;PLAU;SPP1;PKP2;NUPR1;LCP1
Homovanillic-Acid Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,IL32;CDA;SPINK1;ANXA3;KRT7;NRG1;SULT1C2;MLPH;ARHGDIB;SCG5;FLNC;LCP1;SSX1;CPA4
CP-91149 Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,SRGN;GABRP;KRT81;LPAR1;SPINT2;MMP9;RGS4;MLPH;BASP1;PLAU;PDGFC;SLAMF7;LCP1;LTF
Lumiracoxib Up,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,GABRP;TAGLN;CITED2;KCNE4;CYP4F3;ACSL5;KRT7;ARHGAP29;FSTL1;MMP9;MAPK13;IL1RL1;PCLO;HSD17B2
LE-300 Down,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,CDA;TAGLN;SPINK1;ANXA3;BIK;MSLN;LOXL1;SUGCT;NAV3;BASP1;PLAU;ARHGDIB;PKP2;LCP1
Moxonidine Down,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,SRGN;ANXA3;BDNF;KRT7;ANXA10;ADRB2;KMO;MMP9;CALB1;FAP;BASP1;HSD17B2;SPP1;SLAMF7
Chlortalidone Down,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,KRT81;POSTN;CITED2;ANXA3;BIK;MMP3;KRT7;VEGFC;SPINT2;NUAK1;PCLO;AOX1;NUPR1;TOX
Thiazolidinecarboxylic-Acid Down,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,TAGLN;POSTN;SPINK1;GDF15;BIK;KCNE4;LPAR1;IL18;ANXA10;MMP9;OASL;HSD17B2;SOX9;NUPR1
Adatanserin Down,14/246,8.58E-07,8.04E-05,0,0,5.562540664,77.70252754,IL32;KRT81;POSTN;KRT7;VEGFC;ARHGAP29;MSLN;FSTL1;NUAK1;MLPH;BASP1;PDGFC;NUPR1;RIN2
