Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Simvastatin Down,18/244,3.26E-08,1.17E-05,0,0,5.500094144,94.82339434,SRGN;EDN1;TGFB2;ANXA3;WWC1;SERPINE1;P3H2;KRT7;LY96;ARHGAP29;F3;GLIPR1;EVI2A;PLAU;STC2;ANKRD1;IL7R;HBEGF
Pyrvinium Up,18/245,3.47E-08,1.17E-05,0,0,5.475583466,94.05673878,IL32;CPA3;SPINK1;ANXA3;C5AR1;KRT7;SPINT2;NAV2;AREG;F3;PTPRD;IL6;TRIM29;BASP1;STC2;SOX9;NUPR1;LTF
Carprofen Down,18/245,3.47E-08,1.17E-05,0,0,5.475583466,94.05673878,IL32;SRGN;CAV1;KRT7;LY96;ARHGAP29;CXCL14;DCLK1;RELN;TRIM29;BASP1;PLAU;IL1B;HSD17B2;PKP2;SFN;ITM2A;HBEGF
WZ-3146 Down,18/245,3.47E-08,1.17E-05,0,0,5.475583466,94.05673878,POSTN;TGFB2;MYO10;ANXA3;SERPINE1;P3H2;KRT7;ARHGAP29;TNFAIP3;F3;RGS4;THBD;GLIPR1;IL6;PLAU;ARHGDIB;SFN;HBEGF
Moxonidine Down,18/246,3.69E-08,1.17E-05,0,0,5.451287794,93.29860003,SRGN;ANXA3;BDNF;CAV1;KRT7;LY96;ANXA10;NAV2;CXCL14;DCLK1;ALCAM;CALB1;EVI2A;FAP;BASP1;STC2;HSD17B2;SLAMF7
4-AMINOPHENOL Down,18/246,3.69E-08,1.17E-05,0,0,5.451287794,93.29860003,EDN1;POSTN;ANXA3;TNFAIP3;SPINT2;AREG;F3;CXCL14;FOSL2;PTPRD;ALCAM;CALB1;EVI2A;PLAU;ARHGDIB;PKP2;SOX9;LTF
QS-11 Up,18/247,3.93E-08,1.17E-05,0,0,5.427204311,92.5488515,SRGN;POSTN;GDF15;BDNF;LPAR1;LY96;AREG;RGS4;GLIPR1;IL6;ALCAM;EVI2A;FAP;PLAU;ARHGDIB;SOX9;KCNK1;HBEGF
SA-247615 Up,18/248,4.18E-08,1.17E-05,0,0,5.40333025,91.80736903,ANXA3;GDF15;WWC1;CAV1;KRT7;ARHGAP29;NAV2;F3;FSTL1;ALCAM;TRIM29;BASP1;PLAU;ARHGDIB;SFN;SOX9;LCP1;IL7R
LCL-161 Up,18/248,4.18E-08,1.17E-05,0,0,5.40333025,91.80736903,IL32;TGFB2;MME;ANXA3;KRT7;ANXA10;F3;IL6;CALB1;EVI2A;TRIM29;PLAU;BASP1;IL1B;SCG5;SOX9;IL7R;HBEGF
VU-0418942-1 Up,18/248,4.18E-08,1.17E-05,0,0,5.40333025,91.80736903,MME;ANXA3;GDF15;LPAR1;KRT7;ARHGAP29;SPINT2;AREG;F3;FSTL1;ALCAM;EVI2A;TRIM29;BASP1;STC2;SCG5;HBEGF;LTF
KUC104240N Down,18/248,4.18E-08,1.17E-05,0,0,5.40333025,91.80736903,POSTN;ST8SIA1;CITED2;ANXA3;LPAR1;ARHGAP29;TNFAIP3;AREG;FSTL1;CXCL14;PTPRD;GRB14;ARHGDIB;MAGEB2;SCG5;AOX1;NUPR1;LTF
NPPB Down,18/248,4.18E-08,1.17E-05,0,0,5.40333025,91.80736903,CPA3;SRGN;CDA;KRT81;ANXA3;IL18;LY96;TNFAIP3;AREG;FSTL1;CXCL14;PCLO;BASP1;SLCO1B3;SLAMF7;SFN;IL7R;LTF
Bis-Tyrphostin Up,18/249,4.44E-08,1.17E-05,0,0,5.37966289,91.07403076,CPA3;KCND3;KRT7;GFRA1;F3;RGS4;GLIPR1;ALCAM;EVI2A;GRB14;NAV3;BASP1;PLAU;CDH11;RAC2;SCG5;AOX1;SOX9
NPI-2358 Up,18/249,4.44E-08,1.17E-05,0,0,5.37966289,91.07403076,MYO10;ANXA3;WWC1;CAV1;SERPINE1;DIO2;KRT7;SPINT2;NAV2;F3;FSTL1;MAPK13;RGS4;THBD;ALCAM;PLAU;KCNK1;HBEGF
HDAC3-selective Up,18/249,4.44E-08,1.17E-05,0,0,5.37966289,91.07403076,MME;CAV1;SERPINE1;LPAR1;LY96;AREG;F3;FSTL1;CXCL14;LOXL1;RGS4;ALCAM;NAV3;PLAU;BASP1;STC2;IL1B;ARHGDIB
Caffeine Down,18/249,4.44E-08,1.17E-05,0,0,5.37966289,91.07403076,CA12;SPINK1;CITED2;GDF15;WWC1;P3H2;KRT7;NAV2;RGS4;GLIPR1;TBC1D2;TRIM29;STC2;EPB41L3;CDH11;NUPR1;IL7R;CPA4
ZK-164015 Up,17/236,1.11E-07,2.87E-05,0,0,5.3435468,85.54715125,CPA3;MME;ANXA3;GDF15;MMP3;SPINT2;AREG;F3;THBD;BASP1;STC2;SCG5;SLAMF7;NUPR1;LGR5;FBXL7;LTF
Pyrazolanthrone Up,17/238,1.26E-07,3.17E-05,0,0,5.294645284,84.12030465,SEMA5A;CPA3;LPAR1;KRT7;SPINT2;F3;CDH6;PTPRD;ALCAM;CALB1;TRIM29;BASP1;STC2;EPB41L3;ARHGDIB;SLCO1B3;LGR5
KU-C104486 Up,17/241,1.51E-07,3.41E-05,0,0,5.222930338,82.04061729,POSTN;MME;GDF15;SERPINE1;KRT7;F3;CXCL14;FOSL2;RGS4;IL6;EVI2A;STC2;SCG5;SOX9;NUPR1;HBEGF;LTF
Tacalcitol Up,17/242,1.60E-07,3.41E-05,0,0,5.199450334,81.36305431,SEMA5A;CDA;ANXA3;MMP3;LPAR1;KRT7;AREG;F3;FSTL1;MAPK13;RGS4;PTPRD;IL6;ALCAM;BASP1;STC2;SCG5
Oxotremorine-Sesquifumarate Up,17/243,1.70E-07,3.41E-05,0,0,5.176178117,80.69312741,SRGN;MME;ANXA3;P3H2;LY96;SERPINB7;FSTL1;MYOM2;RGS4;THBD;ALCAM;EVI2A;PLAU;BASP1;HSD17B2;IL7R;HBEGF
Helveticoside Up,17/245,1.91E-07,3.41E-05,0,0,5.13024611,79.37572491,CPA3;EDN1;ANXA3;LY96;ARHGAP29;TNFAIP3;AREG;F3;FSTL1;THBD;GLIPR1;IL6;ALCAM;SNAPC1;PLAU;IL7R;HBEGF
Lapatinib Down,17/245,1.91E-07,3.41E-05,0,0,5.13024611,79.37572491,IL32;CDA;KRT81;ANXA3;CAV1;SERPINE1;KRT7;SERPINB7;AREG;F3;GLIPR1;PLAU;IL1B;HSD17B2;SCG5;AOX1;HBEGF
IOWH-032 Down,17/245,1.91E-07,3.41E-05,0,0,5.13024611,79.37572491,CA12;SRGN;POSTN;TGFB2;SPINK1;P3H2;IL18;AREG;F3;FSTL1;CXCL14;DCLK1;THBD;GLIPR1;ALCAM;CDH11;IL7R
Idalopirdine Down,17/245,1.91E-07,3.41E-05,0,0,5.13024611,79.37572491,IL32;CPA3;CAV1;MMP3;AREG;MAPK13;RGS4;ALCAM;PLAU;STC2;IL1B;HSD17B2;MAGEB2;SFN;SOX9;NUPR1;LGR5
Antimycin-A Up,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,CA12;SEMA5A;SPINK1;ANXA3;SERPINE1;P3H2;KRT7;ARHGAP29;F3;RGS4;CDH6;CALB1;BASP1;ARHGDIB;SCG5;AOX1;IL7R
Homovanillic-Acid Up,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,CA12;IL32;CDA;SPINK1;ANXA3;CAV1;KRT7;LY96;NRG1;NAV2;AREG;CXCL14;ARHGDIB;SCG5;LCP1;HBEGF;CPA4
NTNCB Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,SRGN;POSTN;SPINK1;CITED2;SERPINE1;P3H2;KRT7;ARHGAP29;ANXA10;CXCL14;RGS4;GLIPR1;NAV3;HSD17B2;ARHGDIB;MAGEB2;SFN
Dictamnine Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,SPINK1;GDF15;C5AR1;LPAR1;DIO2;F3;CXCL14;FOSL2;PTPRD;IL6;RELN;SNAPC1;PLAU;STC2;EPB41L3;S1PR1;HBEGF
Clofibric-Acid Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,CPA3;KRT81;ANXA3;KRT7;LY96;TNFAIP3;SPINT2;AREG;F3;FOSL2;RGS4;THBD;ALCAM;IL1B;IL7R;HBEGF;LTF
Galantamine Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,MME;GDF15;LPAR1;DIO2;KRT7;ARHGAP29;FSTL1;CXCL14;DCLK1;FOSL2;ALCAM;RELN;CALB1;BASP1;EPB41L3;AOX1;LGR5
VU-0418000-1 Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,CA12;CDA;POSTN;TGFB2;BDNF;P3H2;ANXA10;SPINT2;F3;RGS4;THBD;GLIPR1;EVI2A;GRB14;BASP1;STC2;SLAMF7
SA-424577 Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,SRGN;CITED2;KRT7;ARHGAP29;PRR5L;SPINT2;NAV2;AREG;CXCL14;RGS4;PTPRD;THBD;GLIPR1;ALCAM;ARHGDIB;SCG5;AOX1
Aminolevulinic-Acid Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,EDN1;POSTN;SPINK1;CAV1;KRT7;LY96;ARHGAP29;FSTL1;CXCL14;FAP;BASP1;STC2;HSD17B2;ARHGDIB;CDH11;SCG5;LGR5
GZD-824 Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,TGFB2;ARL14;ANXA3;CAV1;SERPINE1;IL18;TNFAIP3;AREG;F3;GLIPR1;ALCAM;PLAU;IL1B;RAC2;SFN;SOX9;KCNK1
614 7033 4267 Down,17/246,2.02E-07,3.41E-05,0,0,5.107580971,78.72802622,CPA3;SRGN;SPINK1;ANXA3;LPAR1;ARHGAP29;SPINT2;AREG;CDH6;ALCAM;EVI2A;STC2;SCG5;SOX9;LGR5;HBEGF;LTF
VU-0365121-1 Up,17/247,2.14E-07,3.41E-05,0,0,5.085112921,78.08751738,CDA;KRT81;ANXA3;CAV1;IL18;DIO2;ARHGAP29;NAV2;F3;GLIPR1;ALCAM;RELN;BASP1;SLCO1B3;SFN;SOX9;HBEGF
Nitazoxanide Up,17/247,2.14E-07,3.41E-05,0,0,5.085112921,78.08751738,IL32;SRGN;MME;ANXA3;LPAR1;KRT7;SPINT2;NAV2;F3;FSTL1;FOSL2;ALCAM;BASP1;STC2;SLCO1B3;SOX9;IL7R
ANLE-138B Up,17/247,2.14E-07,3.41E-05,0,0,5.085112921,78.08751738,CA12;EDN1;ANXA3;SERPINE1;TNFAIP3;AREG;F3;LOXL1;RGS4;GLIPR1;IL6;ALCAM;PLAU;AOX1;SFN;LGR5;LTF
Ginsenoside Down,17/247,2.14E-07,3.41E-05,0,0,5.085112921,78.08751738,CA12;CPA3;MME;GDF15;MMP3;LPAR1;KRT7;SERPINB7;AREG;F3;RELN;CYP24A1;PLAU;BASP1;STC2;HSD17B2;SLCO1B3
D-4476 Down,17/247,2.14E-07,3.41E-05,0,0,5.085112921,78.08751738,SRGN;KRT81;EDN1;TGFB2;SPINK1;SERPINE1;KRT7;AREG;F3;FSTL1;RGS4;PTPRD;GLIPR1;ALCAM;ARHGDIB;CDH11;HBEGF
Leucodin Down,17/247,2.14E-07,3.41E-05,0,0,5.085112921,78.08751738,IL32;SEMA5A;SPINK1;ANXA3;DIO2;KRT7;ARHGAP29;F3;FSTL1;MYOM2;IL6;PLAU;STC2;EPB41L3;ITM2A;LGR5;LTF
CYT-997 Up,17/248,2.27E-07,3.41E-05,0,0,5.062839399,77.45409204,CDA;KRT81;TGFB2;ANXA3;BDNF;CAV1;KRT7;NAV2;AREG;F3;FSTL1;GLIPR1;ALCAM;PLAU;ARHGDIB;SOX9;HBEGF
RAN-05 Up,17/248,2.27E-07,3.41E-05,0,0,5.062839399,77.45409204,KRT81;GDF15;KRT7;ARHGAP29;TNFAIP3;ANXA10;AREG;F3;FSTL1;CXCL14;CDH6;IL6;ALCAM;CALB1;PKP2;SOX9;LGR5
Z-154373220 Up,17/248,2.27E-07,3.41E-05,0,0,5.062839399,77.45409204,SEMA5A;POSTN;ST8SIA1;ANXA3;SERPINE1;P3H2;ARHGAP29;NRG1;PRR5L;FSTL1;RGS4;GLIPR1;STC2;EPB41L3;PKP2;ITM2A;HBEGF
Sertraline Down,17/248,2.27E-07,3.41E-05,0,0,5.062839399,77.45409204,SRGN;CITED2;BDNF;P3H2;IL18;KRT7;ARHGAP29;TNFAIP3;SERPINB7;AREG;F3;GLIPR1;RELN;CYP24A1;SNAPC1;ARHGDIB;ITM2A
Cerulenin Down,17/248,2.27E-07,3.41E-05,0,0,5.062839399,77.45409204,IL32;CPA3;ANXA3;KRT7;ARHGAP29;TNFAIP3;NAV2;AREG;F3;CXCL14;CDH6;ALCAM;FAP;PLAU;BASP1;ARHGDIB;SOX9
ZM-336372 Up,17/249,2.40E-07,3.42E-05,0,0,5.04075789,76.82764587,CDA;POSTN;ANXA3;CAV1;KRT7;ARHGAP29;ANXA10;SPINT2;AREG;F3;LOXL1;RGS4;GRB14;PLAU;ARHGDIB;SOX9;HBEGF
Ciclopirox Up,17/249,2.40E-07,3.42E-05,0,0,5.04075789,76.82764587,CDA;MME;CAV1;SERPINE1;P3H2;TNFAIP3;SPINT2;FOSL2;RGS4;CDH6;PTPRD;GLIPR1;ALCAM;STC2;SLCO1B3;SCG5;HBEGF
Loxapine Down,17/249,2.40E-07,3.42E-05,0,0,5.04075789,76.82764587,POSTN;MYO10;GDF15;BDNF;IL24;C5AR1;MMP3;KRT7;RGS4;PTPRD;THBD;GLIPR1;IL6;STC2;SCG5;SOX9;HBEGF
MK-0752 Down,17/249,2.40E-07,3.42E-05,0,0,5.04075789,76.82764587,IL32;CPA3;SRGN;MME;GDF15;SERPINE1;P3H2;TNFAIP3;F3;FOSL2;RGS4;THBD;EVI2A;PLAU;IL1B;SFN;KCNK1
VU-0403126 Down,17/250,2.54E-07,3.58E-05,0,0,5.018865922,76.20807647,IL32;CDA;SPINK1;CITED2;C5AR1;MMP3;LY96;CXCL14;IL6;FAP;SNAPC1;IL1B;EPB41L3;NUPR1;IL7R;KCNK1;ITM2A
RS-67506 Down,16/236,5.99E-07,8.32E-05,0,0,4.988476312,71.47286422,IL32;CA12;CPA3;POSTN;P3H2;ARHGAP29;SPINT2;FOSL2;RGS4;ESM1;CALB1;NAV3;STC2;SFN;HBEGF;LTF
SAL-003 Up,16/238,6.71E-07,9.19E-05,0,0,4.943027535,70.2650352,CA12;KRT81;GDF15;KCNE4;MMP3;LPAR1;F3;DCLK1;THBD;ALCAM;PLAU;STC2;IL1B;SCG5;NUPR1;LTF
CAY-10618 Up,16/239,7.09E-07,9.60E-05,0,0,4.920608855,69.67151777,CPA3;POSTN;MME;ANXA3;SERPINE1;SPINT2;AREG;CXCL14;FOSL2;RGS4;IL6;ALCAM;PLAU;SOX9;NUPR1;HBEGF
Pyrvinium-Pamoate Up,16/241,7.92E-07,1.01E-04,0,0,4.876369327,68.50475035,MME;ANXA3;GDF15;KRT7;TNFAIP3;AREG;F3;RGS4;IL6;TRIM29;PLAU;STC2;SOX9;NUPR1;LGR5;HBEGF
ABT-751 Up,16/242,8.37E-07,1.01E-04,0,0,4.854543188,67.93129576,CDA;KRT81;ANXA3;WWC1;CAV1;P3H2;F3;FSTL1;GLIPR1;ALCAM;GRB14;SLAMF7;SFN;SOX9;KCNK1;LTF
3-Cl-AHPC Up,16/242,8.37E-07,1.01E-04,0,0,4.854543188,67.93129576,IL32;SPINK1;ANXA3;GDF15;LY96;ARHGAP29;TNFAIP3;AREG;CXCL14;TRIM29;STC2;SFN;SOX9;NUPR1;KCNK1;HBEGF
NSC-663284 Up,16/243,8.84E-07,1.01E-04,0,0,4.83290935,67.36432745,CITED2;GDF15;C5AR1;MMP3;P3H2;IL18;TNFAIP3;CXCL14;FOSL2;THBD;IL6;SNAPC1;STC2;EPB41L3;SFN;HBEGF
BH3I-1 Down,16/243,8.84E-07,1.01E-04,0,0,4.83290935,67.36432745,IL32;CPA3;SPINK1;ANXA3;KRT7;ARHGAP29;SPINT2;NAV2;F3;DCLK1;ALCAM;BASP1;SLAMF7;SOX9;NUPR1;LTF
Piperlongumine Down,16/243,8.84E-07,1.01E-04,0,0,4.83290935,67.36432745,POSTN;SPINK1;MME;ANXA3;ARHGAP29;NAV2;AREG;F3;CXCL14;FOSL2;PTPRD;ALCAM;CALB1;EVI2A;PLAU;LGR5
PLX-4720 Up,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,SEMA5A;POSTN;ANXA3;LPAR1;AREG;MAPK13;RGS4;CDH6;PTPRD;GLIPR1;EVI2A;NAV3;IL1B;SCG5;ITM2A;HBEGF
L-168049 Up,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,CA12;CDA;ANXA3;LPAR1;KRT7;LY96;ANXA10;F3;CXCL14;ALCAM;CALB1;GRB14;SLCO1B3;AOX1;NUPR1;LTF
Cyanazine Up,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,IL32;SRGN;SPINK1;ARL14;MME;ANXA3;LPAR1;ARHGAP29;ANXA10;AREG;F3;CXCL14;RELN;HSD17B2;PKP2;LCP1
ABT-491 Up,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,CDA;CITED2;ANXA3;P3H2;KRT7;ARHGAP29;SPINT2;FSTL1;GRB14;BASP1;PLAU;HSD17B2;ARHGDIB;AOX1;LGR5;LTF
SA-427636 Up,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,IL32;SRGN;KRT81;POSTN;MME;CITED2;ANXA3;CAV1;KRT7;LY96;ARHGAP29;AREG;MYOM2;STC2;ARHGDIB;LTF
Y-27632 Down,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,IL32;CDA;SPINK1;ANXA3;GDF15;ARHGAP29;F3;GLIPR1;NAV3;BASP1;PLAU;STC2;IL1B;NUPR1;IL7R;HBEGF
Drotaverine Down,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,IL32;SRGN;CDA;KRT81;ANXA3;PAGE1;MMP3;P3H2;KRT7;NRG1;AREG;IL6;ALCAM;SOX9;IL7R;HBEGF
Nesbuvir Down,16/244,9.34E-07,1.01E-04,0,0,4.811465283,66.80374797,CPA3;KRT81;EDN1;ANXA3;LY96;TNFAIP3;ANXA10;SPINT2;AREG;F3;FOSL2;RGS4;ALCAM;EVI2A;BASP1;SCG5
VU-0365117-1 Up,16/245,9.85E-07,1.01E-04,0,0,4.7902085,66.2494617,KRT81;ANXA3;WWC1;CAV1;DIO2;KRT7;NAV2;DUSP8;SERPINB7;AREG;F3;GLIPR1;ALCAM;SNAPC1;AOX1;HBEGF
Idoxuridin Up,16/245,9.85E-07,1.01E-04,0,0,4.7902085,66.2494617,IL32;CA12;CDA;ANXA3;MMP3;KRT7;TNFAIP3;FSTL1;IL6;GRB14;TRIM29;IL1B;SFN;KCNK1;HBEGF;LTF
AMG-900 Up,16/245,9.85E-07,1.01E-04,0,0,4.7902085,66.2494617,SRGN;CDA;POSTN;ANXA3;CAV1;SERPINE1;LY96;AREG;F3;FSTL1;CXCL14;GLIPR1;TBC1D2;EVI2A;IL1B;ARHGDIB
Ponatinib Down,16/245,9.85E-07,1.01E-04,0,0,4.7902085,66.2494617,SRGN;ARL14;CAV1;SERPINE1;MMP3;TNFAIP3;AREG;F3;THBD;GLIPR1;IL6;PLAU;IL1B;MAGEB2;SOX9;HBEGF
Nomifensine Down,16/245,9.85E-07,1.01E-04,0,0,4.7902085,66.2494617,SRGN;GDF15;LPAR1;KRT7;ANXA10;SPINT2;RGS4;ALCAM;EVI2A;PLAU;STC2;CDH11;SOX9;NUPR1;LGR5;LTF
JP-4-043 Down,16/245,9.85E-07,1.01E-04,0,0,4.7902085,66.2494617,KRT81;POSTN;MYO10;CAV1;ARHGAP29;F3;FSTL1;DCLK1;GLIPR1;CYP24A1;BASP1;ARHGDIB;SLCO1B3;RAC2;SFN;LTF
